Player,Points_Over,Points_Under,Points_Line,Shots_Over,Shots_Under,Shots_Line
Boone Jenner,-130,,0.5,-156,,2.5
Chris Kreider,-200,,0.5,,-127,3.5
Mika Zibanejad,,167,0.5,,111,2.5
Artemi Panarin,,-149,1.5,,-137,3.5
Adam Fox,,125,0.5,-172,,1.5
Zachary Werenski,-111,,0.5,-143,,2.5
Alexis Lafreniere,-120,,0.5,-164,,2.5
Yegor Chinakhov,,-172,0.5,,-154,2.5
Jack Roslovic,,-149,0.5,-154,,1.5
Vincent Trocheck,186,,1.5,132,,3.5
Kirill Marchenko,118,,0.5,,-154,2.5
Ivan Provorov,,-196,0.5,,,
Dmitri Voronkov,136,,0.5,-167,,1.5
Johnny Gaudreau,,-101,0.5,146,,2.5
Kaapo Kakko,,,,,115,1.5
Cole Sillinger,,,,-110,,1.5
Jacob Trouba,,,,,113,1.5
Ryan Nugent-Hopkins,,162,0.5,118,,2.5
Connor McDavid,,115,1.5,,100,3.5
Leon Draisaitl,,-139,1.5,-147,,2.5
Robert Thomas,-145,,0.5,,107,1.5
Jordan Kyrou,,-110,0.5,,106,2.5
Evan Bouchard,-161,,0.5,-120,,2.5
Brayden Schenn,,-139,0.5,,113,1.5
Jake Neighbours,,-185,0.5,-120,,1.5
Pavel Buchnevich,,102,0.5,126,,2.5
Evander Kane,-118,,0.5,132,,3.5
Kevin Hayes,,-208,0.5,,,
Zach Hyman,,172,0.5,,-115,3.5
Darnell Nurse,,,,146,,2.5
Torey Krug,,,,-161,,1.5
Justin Faulk,,,,,122,1.5
Mattias Ekholm,,,,,135,1.5
Warren Foegele,,,,-109,,2.5
Corey Perry,,,,,-217,2.5
